学年,必修/選択など種別,科目,シラバスURL,単位,履修状況
4,選択,学外実習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I020-1&year=2021&lang=ja,1,合格
4,選択,学外実習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=4I020-2&year=2021&lang=ja,2,合格
5,選択,日本語の表現技法Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z001&year=2021&lang=ja,2,合格
5,選択,日本語の表現技法Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z002&year=2021&lang=ja,2,合格
5,選択,文学特講Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z003&year=2021&lang=ja,2,合格
5,選択,文学特講Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z004&year=2021&lang=ja,2,合格
5,選択,数学特講Basic,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z005&year=2021&lang=ja,2,合格
5,選択,数学特講Advanced,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z006&year=2021&lang=ja,2,合格
5,選択,代数学特講,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z007&year=2021&lang=ja,2,合格
5,選択,複素関数論,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z008&year=2021&lang=ja,2,合格
5,選択,ベクトル解析,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z009&year=2021&lang=ja,2,合格
5,選択,フーリエ解析,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z010&year=2021&lang=ja,2,合格
5,選択,物理学特講,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z011&year=2021&lang=ja,2,合格
5,選択,化学特講,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z012&year=2021&lang=ja,2,合格
5,選択,社会科学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z013&year=2021&lang=ja,2,合格
5,選択,歴史学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z014&year=2021&lang=ja,2,合格
5,選択,人間科学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z015&year=2021&lang=ja,2,合格
5,選択,国際文化,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z016&year=2021&lang=ja,2,合格
5,選択,環境科学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z017&year=2021&lang=ja,2,合格
5,選択,地球環境,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z018&year=2021&lang=ja,2,合格
5,選択,英語コミュニケーションⅠ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z019&year=2021&lang=ja,2,合格
5,選択,英語コミュニケーションⅡ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z020&year=2021&lang=ja,2,合格
5,選択,第二外国語,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z021&year=2021&lang=ja,2,合格
5,選択,一般技術英語,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z022&year=2021&lang=ja,2,合格
5,選択,体育A,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z023&year=2021&lang=ja,1,合格
5,選択,体育B,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=36&subject_code=5Z024&year=2021&lang=ja,1,合格
5,必修,技術者倫理,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I001&year=2021&lang=ja,1,合格
5,必修,情報福祉工学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I002&year=2021&lang=ja,1,合格
5,必修,システムプログラム,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I003&year=2021&lang=ja,2,合格
5,必修,組み込みシステム実験Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I004&year=2021&lang=ja,1,合格
5,必修,組み込みシステム実験Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I005&year=2021&lang=ja,1,合格
5,必修,卒業研究Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I006&year=2021&lang=ja,8,合格
5,必修,コンパイラ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I007&year=2021&lang=ja,2,合格
5,必修,情報理論Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I012&year=2021&lang=ja,1,合格
5,必修,情報理論Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I013&year=2021&lang=ja,1,合格
5,必修,電磁気学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I015&year=2021&lang=ja,2,合格
5,選択,ソフトウェア工学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I008&year=2021&lang=ja,2,合格
5,選択,信号処理,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I009&year=2021&lang=ja,2,合格
5,選択,データベース,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I010&year=2021&lang=ja,2,合格
5,選択,人工知能,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I011&year=2021&lang=ja,2,合格
5,選択,数値計算法Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I014&year=2021&lang=ja,1,合格
5,選択,制御工学Ⅰ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I016&year=2021&lang=ja,1,合格
5,選択,制御工学Ⅱ,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I017&year=2021&lang=ja,1,合格
5,選択,通信工学,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I018&year=2021&lang=ja,2,合格
5,選択,学外実習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I019-1&year=2021&lang=ja,1,合格
5,選択,学外実習,https://syllabus.kosen-k.go.jp/Pages/PublicSyllabus?school_id=44&department_id=34&subject_code=5I019-2&year=2021&lang=ja,2,合格
